Franchise ID,Team ID,Full Team Name,First Year,Last Year
ANA,ANA,Los Angeles Angels of Anaheim,1997,Present
ARI,ARI,Arizona Diamondbacks,1998,Present
ATL,ATL,Atlanta Braves,1966,Present
BAL,BAL,Baltimore Orioles,1954,Present
BOS,BOS,Boston Red Sox,1901,Present
CHC,CHC,Chicago Cubs,1876,Present
CHW,CHW,Chicago White Sox,1901,Present
CIN,CIN,Cincinnati Reds,1882,Present
CLE,CLE,Cleveland Indians,1901,Present
COL,COL,Colorado Rockies,1993,Present
DET,DET,Detroit Tigers,1901,Present
FLA,MIA,Miami Marlins,2012,Present
HOU,HOU,Houston Astros,1962,Present
KCR,KCR,Kansas City Royals,1969,Present
LAD,LAD,Los Angeles Dodgers,1958,Present
MIL,MIL,Milwaukee Brewers,1970,Present
MIN,MIN,Minnesota Twins,1961,Present
NYM,NYM,New York Mets,1962,Present
NYY,NYY,New York Yankees,1903,Present
OAK,OAK,Oakland Athletics,1968,Present
PHI,PHI,Philadelphia Phillies,1883,Present
PIT,PIT,Pittsburgh Pirates,1882,Present
SDP,SDP,San Diego Padres,1969,Present
SEA,SEA,Seattle Mariners,1977,Present
SFG,SFG,San Francisco Giants,1958,Present
STL,STL,St Louis Cardinals,1882,Present
TBD,TBR,Tampa Bay Rays,2008,Present
TEX,TEX,Texas Rangers,1972,Present
TOR,TOR,Toronto Blue Jays,1977,Present
WSN,WSN,Washington Nationals,2005,Present
